markets_id,vendors_id
175,72
175,84
175,85
175,86
175,87
175,88
175,112
175,123
175,136
175,137
175,138
175,139
175,140
175,141
175,142
175,143
175,144
175,145
175,146
175,147
175,148
175,149
175,150
175,151
175,152
175,153
175,154
175,155
175,156
175,157
175,158
175,159
175,160
175,161
175,162
175,163
175,164
175,165
175,166
175,167
175,168
175,169
175,170
175,171
175,172
175,173
175,174
175,175
175,176
175,177
175,178
175,179
175,180
175,181
175,182
175,183
175,184
175,185
175,186
175,187
175,188
175,189
175,190
175,191
175,192
175,193
175,194
175,195
175,196
175,197
175,198
175,199
175,200
175,201
175,202
175,203
175,204
175,205
175,206
175,207
175,208
175,209
175,210
175,211
175,212
175,213
175,214
175,215
175,216
175,217
175,218
175,219
175,220
175,221
175,222
175,223
175,224
175,225
175,226
175,227
175,228
175,229
175,230
175,231
175,232
175,233
175,234
175,235
175,236
175,237
175,238
175,239
175,240
175,241
175,242
175,243
175,244
175,245
175,246
175,247
175,248
175,249
176,72
176,84
176,85
176,86
176,87
176,88
176,112
176,123
176,136
176,137
176,138
176,139
176,140
176,141
176,142
176,143
176,144
176,145
176,146
176,147
176,148
176,149
176,150
176,151
176,152
176,153
176,154
176,155
176,156
176,157
176,158
176,159
176,160
176,161
176,162
176,163
176,164
176,165
176,166
176,167
176,168
176,169
176,170
176,171
176,172
176,173
176,174
176,175
176,176
176,177
176,178
176,179
176,180
176,181
176,182
176,183
176,184
176,185
176,186
176,187
176,188
176,189
176,190
176,191
176,192
176,193
176,194
176,195
176,196
176,197
176,198
176,199
176,200
176,201
176,202
176,203
176,204
176,205
176,206
176,207
176,208
176,209
176,210
176,211
176,212
176,213
176,214
176,215
176,216
176,217
176,218
176,219
176,220
176,221
176,222
176,223
176,224
176,225
176,226
176,227
176,228
176,229
176,230
176,231
176,232
176,233
176,234
176,235
176,236
176,237
176,238
176,239
176,240
176,241
176,242
176,243
176,244
176,245
176,246
176,247
176,248
176,249